service_id,date,exception_type
3_merged_357925057,20230102,1
3_merged_357925057,20221226,1
3_merged_357925057,20220905,1
3_merged_357925057,20221124,1
4_merged_357925064,20230529,2
4_merged_357925064,20230220,2
2_merged_357925058,20221125,1
13_merged_357925059,20221125,2
4_merged_357925060,20230102,2
4_merged_357925060,20221226,2
4_merged_357925060,20220905,2
4_merged_357925060,20221124,2
2_merged_357925062,20230220,1
3_merged_357925061,20230529,1
