block_id,bikes_allowed,route_id,wheelchair_accessible,direction_id,trip_headsign,shape_id,service_id,trip_id,trip_short_name
a_356086857,0,4381,0,1,101 Rainbow Southbound,12638,2_merged_357925058,357881723,
b_356090165,0,4444,0,1,210 Lake Mead Blvd Westbound,13008,13_merged_357925063,357921840,
b_356090171,0,4444,0,1,210 Lake Mead Blvd Westbound,13005,13_merged_357925063,357921841,
b_356090168,0,4444,0,1,210 Lake Mead Blvd Westbound,13008,13_merged_357925063,357921842,
b_356090166,0,4444,0,1,210 Lake Mead Blvd Westbound,13008,13_merged_357925063,357921843,
b_356090170,0,4444,0,1,210 Lake Mead Blvd Westbound,13008,13_merged_357925063,357921844,
b_356090169,0,4444,0,1,210 Lake Mead Blvd Westbound,13008,13_merged_357925063,357921845,
b_356090172,0,4444,0,1,210 Lake Mead Blvd Westbound,13008,13_merged_357925063,357921846,
b_356090164,0,4444,0,1,210 Lake Mead Blvd Westbound,13008,13_merged_357925063,357921847,
b_356090149,0,4444,0,1,210 Lake Mead Blvd Westbound,13008,13_merged_357925063,357921848,
b_356090167,0,4444,0,1,210 Lake Mead Blvd Westbound,13008,13_merged_357925063,357921849,
a_356087496,0,4399,0,0,202 Flamingo Eastbound,12733,2_merged_357925058,357888495,
a_356087495,0,4399,0,0,202 Flamingo Eastbound,12732,2_merged_357925058,357888494,
a_356087491,0,4399,0,0,202 Flamingo Eastbound,12732,2_merged_357925058,357888497,
a_356087439,0,4399,0,0,202 Flamingo Eastbound,12732,2_merged_357925058,357888496,
a_356087489,0,4399,0,0,202 Flamingo Eastbound,12732,2_merged_357925058,357888491,
a_356087494,0,4399,0,0,202 Flamingo Eastbound,12732,2_merged_357925058,357888490,
a_356087490,0,4399,0,0,202 Flamingo Eastbound,12732,2_merged_357925058,357888493,
a_356087438,0,4399,0,0,202 Flamingo Eastbound,12733,2_merged_357925058,357888492,
a_356087492,0,4399,0,0,202 Flamingo Eastbound,12732,2_merged_357925058,357888499,
a_356087497,0,4399,0,0,202 Flamingo Eastbound,12732,2_merged_357925058,357888498,
a_356087724,0,4411,0,1,219 Craig Westbound,12809,3_merged_357925057,357892379,
a_356087322,0,4411,0,1,219 Craig Westbound,12809,3_merged_357925057,357892378,
a_356087324,0,4411,0,1,219 Craig Westbound,12809,3_merged_357925057,357892377,
a_356087724,0,4411,0,1,219 Craig Westbound,12809,3_merged_357925057,357892376,
a_356087322,0,4411,0,1,219 Craig Westbound,12809,3_merged_357925057,357892375,
a_356087324,0,4411,0,1,219 Craig Westbound,12809,3_merged_357925057,357892374,
a_356087724,0,4411,0,1,219 Craig Westbound,12809,3_merged_357925057,357892373,
a_356087322,0,4411,0,1,219 Craig Westbound,12809,3_merged_357925057,357892372,
a_356087324,0,4411,0,1,219 Craig Westbound,12809,3_merged_357925057,357892371,
a_356087724,0,4411,0,1,219 Craig Westbound,12809,3_merged_357925057,357892370,
b_356090227,0,4430,0,0,113 N. Las Vegas Blvd Northbound,12915,13_merged_357925063,357922579,
b_356090240,0,4430,0,0,113 N. Las Vegas Blvd Northbound,12915,13_merged_357925063,357922578,
b_356090238,0,4430,0,0,113 N. Las Vegas Blvd Northbound,12915,13_merged_357925063,357922575,
b_356090241,0,4430,0,0,113 N. Las Vegas Blvd Northbound,12915,13_merged_357925063,357922574,
b_356090236,0,4430,0,0,113 N. Las Vegas Blvd Northbound,12915,13_merged_357925063,357922577,
b_356090228,0,4430,0,0,113 N. Las Vegas Blvd Northbound,12915,13_merged_357925063,357922576,
b_356090227,0,4430,0,0,113 N. Las Vegas Blvd Northbound,12915,13_merged_357925063,357922571,
b_356090240,0,4430,0,0,113 N. Las Vegas Blvd Northbound,12915,13_merged_357925063,357922570,
b_356090239,0,4430,0,0,113 N. Las Vegas Blvd Northbound,12915,13_merged_357925063,357922573,
b_356090237,0,4430,0,0,113 N. Las Vegas Blvd Northbound,12915,13_merged_357925063,357922572,
a_356087148,0,4387,0,1,108 Paradise Southbound,12672,3_merged_357925057,357883870,
a_356087149,0,4387,0,1,108 Paradise Southbound,12672,3_merged_357925057,357883871,
a_356088092,0,4401,0,1,206 Charleston Westbound,12753,4_merged_357925060,357897828,
a_356088096,0,4401,0,1,206 Charleston Westbound,12753,4_merged_357925060,357897829,
b_356090420,0,4456,0,1,SX-B Sahara Express Westbound,13079,13_merged_357925063,357924931,
b_356090419,0,4456,0,1,SX-A Sahara Express Westbound,13080,13_merged_357925063,357924930,
b_356090417,0,4456,0,1,SX-B Sahara Express Westbound,13079,13_merged_357925063,357924937,
b_356090327,0,4456,0,1,SX-A Sahara Express Westbound,13080,13_merged_357925063,357924936,
b_356090416,0,4456,0,1,SX-B Sahara Express Westbound,13079,13_merged_357925063,357924935,
b_356090422,0,4456,0,1,SX-A Sahara Express Westbound,13080,13_merged_357925063,357924934,
a_356088082,0,4401,0,1,206 Charleston Westbound,12753,4_merged_357925060,357897820,
a_356088087,0,4401,0,1,206 Charleston Westbound,12753,4_merged_357925060,357897821,
a_356088093,0,4401,0,1,206 Charleston Westbound,12753,4_merged_357925060,357897822,
a_356088080,0,4401,0,1,206 Charleston Westbound,12753,4_merged_357925060,357897823,
a_356088088,0,4401,0,1,206 Charleston Westbound,12753,4_merged_357925060,357897824,
a_356088084,0,4401,0,1,206 Charleston Westbound,12753,4_merged_357925060,357897825,
a_356088090,0,4401,0,1,206 Charleston Westbound,12753,4_merged_357925060,357897826,
a_356088086,0,4401,0,1,206 Charleston Westbound,12753,4_merged_357925060,357897827,
a_356087215,0,4389,0,1,110 Eastern Southbound,12678,2_merged_357925058,357884806,
a_356087219,0,4389,0,1,110 Eastern Southbound,12678,2_merged_357925058,357884807,
a_356087221,0,4389,0,1,110 Eastern Southbound,12678,2_merged_357925058,357884804,
a_356087218,0,4389,0,1,110 Eastern Southbound,12678,2_merged_357925058,357884805,
a_356087217,0,4389,0,1,110 Eastern Southbound,12679,2_merged_357925058,357884802,
a_356087214,0,4389,0,1,110 Eastern Southbound,12679,2_merged_357925058,357884803,
a_356087213,0,4389,0,1,110 Eastern Southbound,12679,2_merged_357925058,357884800,
a_356087216,0,4389,0,1,110 Eastern Southbound,12679,2_merged_357925058,357884801,
a_356087213,0,4389,0,1,110 Eastern Southbound,12678,2_merged_357925058,357884808,
a_356087216,0,4389,0,1,110 Eastern Southbound,12678,2_merged_357925058,357884809,
a_356087502,0,4399,0,1,202 Flamingo Westbound,12735,3_merged_357925057,357888729,
a_356087501,0,4399,0,1,202 Flamingo Westbound,12735,3_merged_357925057,357888728,
a_356087505,0,4399,0,1,202 Flamingo Westbound,12735,3_merged_357925057,357888723,
a_356087504,0,4399,0,1,202 Flamingo Westbound,12735,3_merged_357925057,357888722,
a_356087503,0,4399,0,1,202 Flamingo Westbound,12735,3_merged_357925057,357888721,
a_356087502,0,4399,0,1,202 Flamingo Westbound,12735,3_merged_357925057,357888720,
a_356087507,0,4399,0,1,202 Flamingo Westbound,12735,3_merged_357925057,357888727,
a_356087506,0,4399,0,1,202 Flamingo Westbound,12735,3_merged_357925057,357888726,
a_356087500,0,4399,0,1,202 Flamingo Westbound,12735,3_merged_357925057,357888725,
a_356087499,0,4399,0,1,202 Flamingo Westbound,12735,3_merged_357925057,357888724,
a_356086944,0,4383,0,1,103 Decatur Southbound,12652,2_merged_357925058,357882408,
a_356086945,0,4383,0,1,103 Decatur Southbound,12652,2_merged_357925058,357882409,
a_356086943,0,4383,0,1,103 Decatur Southbound,12652,2_merged_357925058,357882404,
a_356086947,0,4383,0,1,103 Decatur Southbound,12652,2_merged_357925058,357882405,
a_356086948,0,4383,0,1,103 Decatur Southbound,12652,2_merged_357925058,357882406,
a_356086949,0,4383,0,1,103 Decatur Southbound,12652,2_merged_357925058,357882407,
a_356086944,0,4383,0,1,103 Decatur Southbound,12652,2_merged_357925058,357882400,
a_356086945,0,4383,0,1,103 Decatur Southbound,12652,2_merged_357925058,357882401,
a_356086942,0,4383,0,1,103 Decatur Southbound,12652,2_merged_357925058,357882402,
a_356086946,0,4383,0,1,103 Decatur Southbound,12652,2_merged_357925058,357882403,
b_356090395,0,4453,0,1,Deuce on The Strip Southbound,13058,13_merged_357925063,357924708,
a_356087093,0,4408,0,1,215 Bonanza Westbound,12796,3_merged_357925057,357891593,
b_356088476,0,4420,0,0,101 Rainbow Northbound,12863,2_merged_357925062,357901723,
b_356088480,0,4420,0,0,101 Rainbow Northbound,12863,2_merged_357925062,357901727,
b_356088479,0,4420,0,0,101 Rainbow Northbound,12863,2_merged_357925062,357901726,
b_356088478,0,4420,0,0,101 Rainbow Northbound,12863,2_merged_357925062,357901725,
b_356088477,0,4420,0,0,101 Rainbow Northbound,12863,2_merged_357925062,357901724,
b_356088478,0,4420,0,0,101 Rainbow Northbound,12863,2_merged_357925062,357901729,
b_356088481,0,4420,0,0,101 Rainbow Northbound,12863,2_merged_357925062,357901728,
a_356088352,0,4399,0,1,202 Flamingo Westbound,12735,13_merged_357925059,357900452,
