service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
3_merged_357925057,20220807,20230128,0,0,0,0,0,0,1
4_merged_357925064,20230129,20230630,1,1,1,1,0,0,0
2_merged_357925058,20220807,20230128,0,0,0,0,0,1,0
13_merged_357925063,20230129,20230630,0,0,0,0,1,0,0
13_merged_357925059,20220807,20230128,0,0,0,0,1,0,0
4_merged_357925060,20220807,20230128,1,1,1,1,0,0,0
2_merged_357925062,20230129,20230630,0,0,0,0,0,1,0
3_merged_357925061,20230129,20230630,0,0,0,0,0,0,1
